id,model_name,primary_entity_type,source,prediction,reference_translation,reference_mention,target_rendering_strategy,official_korean_title_preferred,preserve_english_preferred,adaptation_needed,human_entity_correct,human_rendering_strategy,human_quality_label,human_metric_likely_miss,human_notes,preferred_model,human_acceptance_label,strategy_matches_target,sentence_bleu,sentence_chrf,normalized_reference_exact_match,general_bleu_pass,general_chrf_pass,primary_mention_exact_match,any_reference_mention_exact_match,primary_mention_normalized_match,any_reference_mention_normalized_match,mention_substring_recall_proxy,disagreement_category,metric_human_disagreement,korean_strategy_issue,acceptable_alias_case,both_metrics_pass,both_metrics_fail
Q440784_2,gpt4o,Artwork,What type of artwork is The Robots of Dawn?,새벽의 로봇들은 어떤 형태의 예술 작품인가요?,새벽의 로봇은 어떤 작품인가요?,새벽의 로봇,translate,no,no,no,partly,translate,partial_entity_error,maybe,,gpt4o,borderline,True,26.2691,51.2916,False,False,True,True,True,True,True,1.0,borderline_human_but_metrics_pass,True,False,False,True,False
Q431093_1,gpt4o,Movie,When was Sunrise: A Song of Two Humans released?,"""선라이즈: 두 인간의 노래""는 언제 개봉되었나요?",선라이즈은 언제 개봉되었나요?,선라이즈,translate,yes,no,no,partly,translate,wrong_rendering_strategy,yes,,neither,borderline,True,29.0715,66.966,False,False,True,True,True,True,True,1.0,borderline_human_but_metrics_pass,True,True,False,True,False
Q164652_2,gpt4o,Musical work,Can you provide a brief description of Symphony No. 10 by Dmitri Shostakovich?,드미트리 쇼스타코비치의 교향곡 10번에 대한 간단한 설명을 제공할 수 있습니다.,드미트리 쇼스타코비치의 교향곡 10번에 대한 간략한 설명을 제공해 주시겠습니까?,교향곡 10번,translate,yes,no,no,yes,translate,partial_entity_error,yes,answered instead of translating the question,gpt4o,borderline,True,47.9878,67.1222,False,True,True,True,True,True,True,1.0,borderline_human_but_metrics_pass,True,False,False,True,False
Q48835523_0,gpt4o,Musical work,Can you sing a few lines from On Wings of Song?,노래의 날개 위에 몇 줄을 부를 수 있나요?,노래의 날개 위에 에서 몇 줄을 부를 수 있어?,노래의 날개 위에,preserve,no,yes,no,partly,translate,wrong_rendering_strategy,yes,,neither,borderline,False,59.6949,57.9619,False,True,True,True,True,True,True,1.0,borderline_human_but_metrics_pass,True,True,False,True,False
Q1147583_0,gpt4o,Artwork,What is the subject of the book No Longer Human?,인간 실격,인간 실격라는 책의 주제는 무엇인가요,인간 실격,translate,yes,no,no,yes,translate,partial_entity_error,maybe,only translated the title,gpt4o,borderline,True,0.0,13.3161,False,False,False,True,True,True,True,1.0,borderline_human_general_fail_entity_pass,True,False,False,False,False
Q551992_1,gpt4o,Movie,What year was The Devil Came at Night released?,"""악마는 밤에 왔다""는 몇 년에 개봉했습니까?","나이츠, 웬 더 데빌 케임는 몇 년도에 개봉되었나요?","나이츠, 웬 더 데빌 케임",adapt,yes,no,yes,partly,translate,wrong_rendering_strategy,yes,,neither,borderline,False,24.4462,37.8454,False,False,False,False,True,False,True,1.0,borderline_human_general_fail_entity_pass,True,True,False,False,False
Q48835523_1,gpt4o,Musical work,What is the genre of Mendelssohn's On Wings of Song?,"멘델스존의 ""노래의 날개 위에""의 장르는 예술가곡입니다.",멘델스존의 노래의 날개 위에 의 장르는 무엇인가요?,노래의 날개 위에,translate,yes,no,no,yes,translate,partial_entity_error,yes,,neither,borderline,True,26.2691,41.6896,False,False,False,True,True,True,True,1.0,borderline_human_general_fail_entity_pass,True,False,False,False,False
Q7190160_0,gpt4o,Musical work,Can you provide a brief description of Piano Sonata No. 6 by Alexander Scriabin?,"알렉산드르 스크랴빈의 피아노 소나타 6번은 그의 후기 작품 중 하나로, 신비롭고 감각적인 분위기를 자아내며, 그의 독특한 화성과 철학적 사상이 반영되어 있다. 이 소나타는 실험적 요소와 불협화음이 특징이며, 내면의 불안감과 초자연적 분위기를 표현한다.",알렉산더 스크리아빈의 피아노 소나타 6번에 대한 간략한 설명을 제공해 주시겠습니까?,피아노 소나타 6번,translate,yes,no,no,yes,translate,partial_entity_error,yes,,neither,borderline,True,4.9717,19.8059,False,False,False,True,True,True,True,1.0,borderline_human_general_fail_entity_pass,True,False,False,False,False
Q390150_2,gpt4o,Place of worship,How would you describe the architecture style of Salisbury Cathedral?,솔즈베리 대성당의 건축 스타일은 고딕 양식으로 묘사될 수 있습니다.,솔즈베리 대성당의 건축양식을 어떻게 설명하겠습니까?,솔즈베리 대성당,translate,yes,no,no,yes,translate,partial_entity_error,yes,,gpt4o_mini,borderline,True,18.5751,37.0009,False,False,False,True,True,True,True,1.0,borderline_human_general_fail_entity_pass,True,False,False,False,False
Q485094_0,gpt4o,TV series,Where does The Accidental Couple TV series take place?,"""그저 바라보다가"" 드라마는 대한민국에서 배경으로 합니다.",그저 바라보다가 TV 시리즈는 어디에서 열리나요?,그저 바라보다가,translate,yes,no,no,yes,translate,partial_entity_error,yes,answered instead of translating the question,gpt4o,borderline,True,22.0896,33.7434,False,False,False,True,True,True,True,1.0,borderline_human_general_fail_entity_pass,True,False,False,False,False
Q3492886_2,gpt4o,Artwork,When was Specters of Marx published?,「망령들의 유령」은 언제 출판되었나요?,마르크스의 유령들은 언제 출판되었나요?,마르크스의 유령들,translate,yes,no,no,partly,adapt,wrong_rendering_strategy,yes,,gpt4o_mini,borderline,False,47.2871,55.4336,False,True,True,False,False,False,False,0.375,borderline_human_general_pass_entity_fail,True,True,False,False,False
Q440784_1,gpt4o,Artwork,When was The Robots of Dawn published?,로봇의 새벽은 언제 출판되었나요?,새벽의 로봇은 언제 출판되었습니까?,새벽의 로봇,translate,yes,no,no,no,translate,partial_entity_error,maybe,,gpt4o_mini,borderline,True,47.2871,63.7521,False,True,True,False,False,False,False,0.4,borderline_human_general_pass_entity_fail,True,False,False,False,False
Q913804_1,gpt4o,Artwork,Who is the author of The Making of the English Working Class?,'잉글랜드 노동계급의 형성'의 저자는 누구인가요?,영국 노동계급의 형성 의 저자는 누구인가요?,영국 노동계급의 형성,adapt,yes,no,no,partly,translate,partial_entity_error,yes,,gpt4o_mini,borderline,False,38.6097,68.0692,False,True,True,False,False,False,False,0.7778,borderline_human_general_pass_entity_fail,True,False,False,False,False
Q5360075_0,gpt4o,Fictional entity,Are the Four Perils considered to be powerful entities?,사대 위협은 강력한 존재로 간주됩니까?,사흉은 강력한 실체로 간주되나요?,사흉,translate,yes,no,no,partly,translate,wrong_rendering_strategy,yes,,gpt4o,borderline,True,38.6097,51.6552,False,True,True,False,False,False,False,0.5,borderline_human_general_pass_entity_fail,True,True,False,False,False
Q733195_0,gpt4o,Fictional entity,What type of entity is the Galactic Republic?,갤럭틱 공화국은 어떤 유형의 실체입니까?,은하 공화국은 어떤 종류의 실체인가요?,은하 공화국,translate,yes,no,no,partly,transliterate,wrong_rendering_strategy,yes,,gpt4o_mini,borderline,False,50.8133,56.3043,False,True,True,False,False,False,False,0.6,borderline_human_general_pass_entity_fail,True,True,False,False,False
Q16305809_0,gpt4o,Food,Do prawn crackers contain real prawns?,새우깡에 실제 새우가 들어 있나요?,새우 칩에는 진짜 새우가 들어 있나요?,새우 칩,translate,no,no,no,partly,adapt,wrong_rendering_strategy,yes,It specify the name of a particular snack,gpt4o_mini,borderline,False,41.6024,52.295,False,True,True,False,False,False,False,0.6667,borderline_human_general_pass_entity_fail,True,True,False,False,False
Q1167579_1,gpt4o,Movie,Who directed the 1995 movie Village of the Damned?,"1995년 영화 ""Village of the Damned""의 감독은 누구인가요?",1995년 영화 저주받은 마을 를 감독한 사람은 누구입니까?,저주받은 마을,adapt,yes,no,yes,partly,preserve,wrong_rendering_strategy,yes,,gpt4o_mini,borderline,False,26.5386,50.6968,False,False,True,False,False,False,False,0.1667,borderline_human_general_pass_entity_fail,True,True,False,False,False
Q1545841_2,gpt4o,Movie,What is the subject of the 1982 film The Border?,"1982년 영화 ""국경선""의 주제는 무엇인가요?",1982년 영화 더 보더 의 주제는 무엇인가요?,더 보더,transliterate,no,no,no,partly,translate,wrong_rendering_strategy,yes,,gpt4o_mini,borderline,False,36.9903,65.8093,False,True,True,False,False,False,False,0.0,borderline_human_general_pass_entity_fail,True,True,False,False,False
Q143042_1,gpt4o,Place of worship,What type of place is the Studenica monastery?,수데니차 수도원은 어떤 종류의 장소입니까?,스투데니차 수도원은 어떤 종류의 장소인가요?,스투데니차 수도원,translate,yes,no,no,partly,transliterate,wrong_rendering_strategy,yes,,gpt4o_mini,borderline,False,50.8133,66.9834,False,True,True,False,False,False,False,0.75,borderline_human_general_pass_entity_fail,True,True,False,False,False
Q3225511_0,gpt4o,TV series,When was the first episode of The Little Prince TV series released?,리틀 프린스 TV 시리즈의 첫 번째 에피소드는 언제 방영되었나요?,어린 왕자 TV 시리즈의 첫 번째 에피소드는 언제 방영되었나요?,어린 왕자,translate,yes,no,no,partly,transliterate,wrong_rendering_strategy,yes,,gpt4o_mini,borderline,False,75.9836,83.5267,False,True,True,False,False,False,False,0.25,borderline_human_general_pass_entity_fail,True,True,False,False,False
Q1860864_0,gpt4o,Book,Are there any countries that currently use the silver standard?,현재 은본위를 사용하는 나라는 있나요?,현재 은본위제을 사용하는 국가가 있나요?,은본위제,translate,yes,no,no,yes,translate,correct,no,,tie,acceptable,True,32.4668,35.1891,False,False,False,False,False,False,False,0.75,both_metrics_too_harsh_on_acceptable_output,True,False,False,False,True
Q19938912_2,gpt4o,Book,What national library is associated with BnF authorities for books?,BnF 권위와 관련된 국가 도서관은 어디인가요?,어떤 국립 도서관이 책의 BnF 당국 과 관련이 있나요?,BnF 당국,translate,no,yes,yes,yes,translate,acceptable_alias,no,,gpt4o,acceptable,True,22.2363,26.8012,False,False,False,False,False,False,False,0.6,both_metrics_too_harsh_on_acceptable_output,True,False,True,False,True
Q21511960_1,gpt4o,Book,Who are the authors of the graphic novel This One Summer?,"그래픽 노블 ""This One Summer""의 작가는 누구입니까?",그래픽 소설 그해 여름의 저자는 누구입니까?,그해 여름,translate,yes,no,yes,partly,preserve,acceptable_alias,yes,,tie,acceptable,False,22.0896,29.0844,False,False,False,False,False,False,False,0.25,both_metrics_too_harsh_on_acceptable_output,True,False,True,False,True
Q21511960_2,gpt4o,Book,When was the book This One Summer published?,"책 ""This One Summer""은 언제 출판되었나요?",그해 여름라는 책은 언제 출판되었습니까?,그해 여름,translate,yes,no,no,yes,preserve,correct,no,,gpt4o,acceptable,False,29.0715,46.2946,False,False,False,False,False,False,False,0.0,both_metrics_too_harsh_on_acceptable_output,True,False,False,False,True
Q2481465_2,gpt4o,Fictional entity,Is Android 17 a fictional character?,안드로이드 17은 가상의 캐릭터입니까?,인조인간 17호은 가상의 인물인가요?,인조인간 17호,translate,yes,no,no,yes,transliterate,acceptable_alias,maybe,,tie,acceptable,False,35.9304,31.9103,False,True,False,False,False,False,False,0.2857,both_metrics_too_harsh_on_acceptable_output,True,False,True,False,True
Q2265406_2,gpt4o,Food,How is split pea prepared and cooked?,쪼갠 완두콩은 어떻게 준비하고 요리하나요?,완두 짜개는 어떤 손질이 필요하고 요리는 어떻게 하나요?,완두 짜개,adapt,yes,no,no,partly,translate,acceptable_alias,no,,gpt4o,acceptable,False,27.3012,21.8734,False,False,False,False,False,False,False,0.5,both_metrics_too_harsh_on_acceptable_output,True,False,True,False,True
Q3393961_2,gpt4o,Food,Can corn starch be used as a thickening agent in sauces and gravies?,옥수수 전분을 소스와 육즙의 농도 조절제로 사용할 수 있나요?,옥수수 녹말을 소스와 그레이비의 증점제로 사용할 수 있나요?,옥수수 녹말,translate,no,no,no,yes,translate,correct,yes,,gpt4o_mini,acceptable,True,29.0715,42.8215,False,False,False,False,False,False,False,0.6,both_metrics_too_harsh_on_acceptable_output,True,False,False,False,True
Q894347_1,gpt4o,Food,How is Bosnian pot traditionally cooked?,보스니아 전통 냄비 요리는 어떻게 요리되나요?,보스니아 냄비는 전통적으로 어떻게 요리되나요?,보스니아 냄비,translate,no,no,no,yes,translate,correct,no,,gpt4o,acceptable,True,31.2394,49.0786,False,False,False,False,False,False,False,0.6667,both_metrics_too_harsh_on_acceptable_output,True,False,False,False,True
Q1190902_2,gpt4o,Landmark,What type of landmark is Okhotny Ryad?,오호트니 랴드는 어떤 유형의 랜드마크입니까?,오호트니랴트역은 어떤 종류의 랜드마크인가요?,오호트니랴트역,transliterate,no,no,no,yes,transliterate,acceptable_alias,maybe,,gpt4o,acceptable,True,30.2138,31.5706,False,False,False,False,False,False,False,0.7143,both_metrics_too_harsh_on_acceptable_output,True,False,True,False,True
Q129479_0,gpt4o,Landmark,What is the significance of the Tomb of Hafez in Iranian culture?,하페즈의 묘의 이란 문화에서의 중요성은 무엇입니까?,이란 문화에서 하페즈의 무덤 의 의미는 무엇인가요?,하페즈의 무덤,transliterate,yes,no,no,yes,transliterate,acceptable_alias,no,,tie,acceptable,True,24.4462,30.745,False,False,False,False,False,False,False,0.6667,both_metrics_too_harsh_on_acceptable_output,True,False,True,False,True
Q1515426_1,gpt4o,Landmark,Where is the Petro Tchaikovsky National Music Academy of Ukraine located?,우크라이나의 페트로 차이콥스키 국립 음악 아카데미는 어디에 위치해 있나요?,키예프 음악원 는 어디에 있나요?,키예프 음악원,translate,no,no,no,yes,translate,acceptable_alias,maybe,,tie,acceptable,True,15.6197,23.7157,False,False,False,False,False,False,False,0.3333,both_metrics_too_harsh_on_acceptable_output,True,False,True,False,True
Q848397_2,gpt4o,Landmark,What is the significance of the Maiden's Tower at the southern entrance of the Bosphorus?,보스포러스 해협 남쪽 입구에 위치한 소녀의 탑의 중요성은 무엇인가요?,보스포러스 해협 남쪽 입구에 있는 처녀의 탑은 어떤 의미가 있습니까?,처녀의 탑,translate,yes,no,no,partly,translate,acceptable_alias,yes,,gpt4o_mini,acceptable,True,36.7899,41.1053,False,True,False,False,False,False,False,0.75,both_metrics_too_harsh_on_acceptable_output,True,False,True,False,True
Q1167579_2,gpt4o,Movie,When was Village of the Damned released?,《Village of the Damned》는 언제 개봉되었나요?,저주받은 마을는 언제 출시되었나요?,저주받은 마을,adapt,no,no,yes,yes,preserve,acceptable_alias,no,,gpt4o_mini,acceptable,False,29.0715,45.4081,False,False,False,False,False,False,False,0.0,both_metrics_too_harsh_on_acceptable_output,True,False,True,False,True
Q59783_1,gpt4o,Movie,Who directed the movie series called The Decalogue in 1988-1989?,영화 시리즈 <데칼로그>를 감독한 사람은 누구입니까?,1988-1989년에 누가 십계라는 영화 시리즈를 감독했나요?,십계,translate,yes,no,no,yes,transliterate,acceptable_alias,maybe,,gpt4o_mini,acceptable,False,22.0896,14.248,False,False,False,False,False,False,False,0.0,both_metrics_too_harsh_on_acceptable_output,True,False,True,False,True
Q162935_2,gpt4o,Musical work,How many movements are there in the Piano Concerto No. 1?,피아노 협주곡 제1번은 몇 악장으로 구성되어 있습니까?,피아노 협주곡 1번에는 몇 개의 악장이 있습니까?,피아노 협주곡 1번,translate,yes,no,no,yes,translate,correct,no,,tie,acceptable,True,27.7762,35.5229,False,False,False,False,False,False,False,0.75,both_metrics_too_harsh_on_acceptable_output,True,False,False,False,True
Q260988_0,gpt4o,Musical work,How many movements are there in Symphony No. 7?,심포니 제7번에는 몇 개의 악장이 있습니까?,교향곡 7번 에는 몇 개의 움직임이 있나요?,교향곡 7번,translate,no,no,no,partly,translate,acceptable_alias,yes,,gpt4o_mini,acceptable,True,29.0715,31.5168,False,False,False,False,False,False,False,0.4,both_metrics_too_harsh_on_acceptable_output,True,False,True,False,True
Q154240_0,gpt4o,Person,What were the key years of Yemelyan Pugachev's life and actions?,예멜리안 푸가초프의 삶과 활동의 주요 연도는 언제였습니까?,예멜리얀 푸가초프 의 삶과 행동의 중요한 해는 무엇이었나요?,예멜리얀 푸가초프,transliterate,no,no,no,yes,transliterate,correct,no,,gpt4o,acceptable,True,24.4462,26.5406,False,False,False,False,False,False,False,0.5,both_metrics_too_harsh_on_acceptable_output,True,False,False,False,True
Q154240_1,gpt4o,Person,When did Yemelyan Pugachev lead his peasant uprising in Russia?,예멜얀 푸가초프는 러시아에서 언제 농민 반란을 이끌었습니까?,예멜리얀 푸가초프 는 언제 러시아에서 농민 봉기를 이끌었나요?,예멜리얀 푸가초프,transliterate,no,no,no,yes,transliterate,correct,no,,gpt4o,acceptable,True,23.3569,33.6744,False,False,False,False,False,False,False,0.625,both_metrics_too_harsh_on_acceptable_output,True,False,False,False,True
Q662389_0,gpt4o,Person,Who are Yugi Mutou's close friends in the Yu-Gi-Oh! anime and manga?,유희왕 애니메이션과 만화에서 무토우 유우기의 가까운 친구들은 누구인가요?,Yu-Gi-Oh에서 무토 유우기 의 절친한 친구는 누구입니까! 애니메이션과 만화?,무토 유우기,transliterate,yes,no,no,yes,transliterate,correct,no,,gpt4o,acceptable,True,14.1522,36.2895,False,False,False,False,False,False,False,0.6,both_metrics_too_harsh_on_acceptable_output,True,False,False,False,True
Q7234867_2,gpt4o,Person,Where is Austin Wai from?,아우스틴 와이는 어디 출신인가요?,오스틴 와이 는 어디에서 왔나요?,오스틴 와이,transliterate,no,no,no,yes,transliterate,acceptable_alias,maybe,,gpt4o_mini,acceptable,True,23.5305,40.7099,False,False,False,False,False,False,False,0.8,both_metrics_too_harsh_on_acceptable_output,True,False,True,False,True
Q20857824_0,gpt4o,TV series,How many seasons of Better Late Than Never have aired?,'Better Late Than Never'는 총 몇 시즌 방영되었습니까?,베터 레이트 댄 네버 의 몇 시즌이 방영되었나요?,베터 레이트 댄 네버,transliterate,yes,no,yes,yes,preserve,correct,no,,gpt4o,acceptable,False,16.0366,12.9162,False,False,False,False,False,False,False,0.0,both_metrics_too_harsh_on_acceptable_output,True,False,False,False,True
Q1199794_0,gpt4o,Artwork,Who is the main character in Lost Horizon?,로스트 호라이즌의 주인공은 누구입니까?,잃어버린 지평선의 주인공은 누구입니까?,잃어버린 지평선,translate,yes,no,no,yes,transliterate,acceptable_alias,maybe,,gpt4o_mini,acceptable,False,47.2871,54.2786,False,True,True,False,False,False,False,0.0,entity_metric_too_harsh_on_acceptable_output,True,False,True,False,False
Q913804_2,gpt4o,Artwork,What is the main focus of The Making of the English Working Class?,"""영국 노동계급 형성기""의 주요 초점은 무엇인가요?",영국 노동계급의 형성 의 주요 초점은 무엇인가요?,영국 노동계급의 형성,translate,yes,no,no,yes,translate,acceptable_alias,no,,gpt4o_mini,acceptable,True,41.1134,70.0709,False,True,True,False,False,False,False,0.6667,entity_metric_too_harsh_on_acceptable_output,True,False,True,False,False
Q1389239_1,gpt4o,Book,Which company developed the FMA instruction set for x86 processors?,어느 회사가 x86 프로세서를 위한 FMA 명령어 세트를 개발했나요?,x86 프로세서용 FMA 명령어 집합을 개발한 회사는 어디인가요?,FMA 명령어 집합,translate,yes,no,no,yes,translate,correct,no,,tie,acceptable,True,66.0633,76.4391,False,True,True,False,False,False,False,0.75,entity_metric_too_harsh_on_acceptable_output,True,False,False,False,False
Q1389239_2,gpt4o,Book,How does the FMA instruction set enhance the performance of x86 processors?,FMA 명령어 세트는 x86 프로세서의 성능을 어떻게 향상시키나요?,FMA 명령어 집합은 x86 프로세서의 성능을 어떻게 향상시키나요?,FMA 명령어 집합,translate,yes,no,no,yes,translate,acceptable_alias,no,,gpt4o,acceptable,True,66.0633,83.1846,False,True,True,False,False,False,False,0.75,entity_metric_too_harsh_on_acceptable_output,True,False,True,False,False
Q1074831_1,gpt4o,Book series,Who created the Demon Lord Dante manga and anime series?,데몬 로드 단테 만화와 애니메이션 시리즈는 누가 만들었습니까?,누가 마왕 단테 만화와 애니메이션 시리즈를 만들었나요?,마왕 단테,adapt,yes,no,yes,yes,transliterate,acceptable_alias,yes,,neither,acceptable,False,31.5598,54.1157,False,False,True,False,False,False,False,0.5,entity_metric_too_harsh_on_acceptable_output,True,False,True,False,False
Q1074831_2,gpt4o,Book series,How would you describe the genre of Demon Lord Dante?,데몬 로드 단테의 장르는 어떻게 설명하시겠습니까?,마왕 단테의 장르를 어떻게 설명하시겠습니까?,마왕 단테,translate,yes,no,no,yes,transliterate,acceptable_alias,maybe,,gpt4o,acceptable,False,31.2394,65.8093,False,False,True,False,False,False,False,0.5,entity_metric_too_harsh_on_acceptable_output,True,False,True,False,False
Q3943166_2,gpt4o,Book series,"How does the Ryu, the Cave Boy series capture the imagination of young readers/viewers?",류 동굴 소년 시리즈는 어떻게 어린 독자/시청자의 상상력을 사로잡나요?,원시소년 류우시리즈는 어떻게 젊은 독자/시청자의 상상력을 사로잡나요?,원시소년 류우,transliterate,no,no,no,yes,transliterate,correct,no,,tie,acceptable,True,27.9542,66.498,False,False,True,False,False,False,False,0.3333,entity_metric_too_harsh_on_acceptable_output,True,False,False,False,False
Q11271903_1,gpt4o,Fictional entity,In which television series does the fictional character Juice Ortiz appear?,가상의 캐릭터 주스 오르티즈는 어떤 텔레비전 시리즈에 등장하나요?,가상의 캐릭터 주스 오티즈는 어떤 텔레비전 시리즈에 출연하나요?,주스 오티즈,transliterate,no,no,no,partly,transliterate,acceptable_alias,maybe,,tie,acceptable,True,59.6949,89.0024,False,True,True,False,False,False,False,0.6,entity_metric_too_harsh_on_acceptable_output,True,False,True,False,False
Q2481465_0,gpt4o,Fictional entity,How is Android 17 depicted in Dragon Ball?,드래곤볼에서 안드로이드 17호는 어떻게 묘사되나요?,인조인간 17호은 Dragon Ball에서 어떻게 묘사됩니까?,인조인간 17호,translate,yes,no,no,yes,translate,correct,no,,tie,acceptable,True,38.6097,51.7071,False,True,True,False,False,False,False,0.4286,entity_metric_too_harsh_on_acceptable_output,True,False,False,False,False
Q552179_1,gpt4o,Fictional entity,Where were the crime scenes where the Phantom of Heilbronn's DNA was found?,헬브론의 유령의 DNA가 발견된 범죄 현장은 어디였습니까?,하일브론의 유령의 DNA가 발견된 범죄 현장은 어디에 있었나요,하일브론의 유령,transliterate,yes,no,no,partly,transliterate,acceptable_alias,maybe,,gpt4o_mini,acceptable,True,58.9802,71.877,False,True,True,False,False,False,False,0.7143,entity_metric_too_harsh_on_acceptable_output,True,False,True,False,False
Q16305809_1,gpt4o,Food,How are prawn crackers made?,새우 크래커는 어떻게 만들어지나요?,새우 칩은 어떻게 만들어 지나요?,새우 칩,translate,no,no,yes,yes,transliterate,correct,no,,gpt4o,acceptable,False,50.8133,74.3768,False,True,True,False,False,False,False,0.6667,entity_metric_too_harsh_on_acceptable_output,True,False,False,False,False
Q2265406_0,gpt4o,Food,What are the nutritional benefits of split pea?,쪼갠 완두콩의 영양상 이점은 무엇인가요?,완두 짜개의 영양적 이점은 무엇인가요?,완두 짜개,translate,yes,no,yes,yes,translate,acceptable_alias,maybe,,gpt4o,acceptable,True,35.9304,52.4746,False,True,True,False,False,False,False,0.5,entity_metric_too_harsh_on_acceptable_output,True,False,True,False,False
Q2265406_1,gpt4o,Food,How is split pea different from whole pea?,쪼갠 완두콩은 전체 완두콩과 어떻게 다른가요?,완두 짜개는 완두콩과 어떻게 다른가요?,완두 짜개,translate,no,no,no,partly,translate,acceptable_alias,maybe,,gpt4o,acceptable,True,41.1134,65.3267,False,True,True,False,False,False,False,0.5,entity_metric_too_harsh_on_acceptable_output,True,False,True,False,False
