id,model_name,primary_entity_type,prediction,primary_reference_mention,reference_mentions,primary_mention_exact_match,any_reference_mention_exact_match,primary_mention_normalized_match,any_reference_mention_normalized_match,mention_substring_recall_proxy
Q1044613_1,gpt4o_mini,Landmark,헬싱키 중앙 기차역의 건축 양식을 어떻게 설명하시겠습니까?,헬싱키 중앙역,"[""헬싱키 중앙역"", ""헬싱키 중앙역""]",False,False,False,False,0.8333
Q1044613_1,gpt4o,Landmark,헬싱키 중앙역의 건축 양식을 어떻게 설명하시겠습니까?,헬싱키 중앙역,"[""헬싱키 중앙역"", ""헬싱키 중앙역""]",True,True,True,True,1.0
Q1044613_1,vanilla_mt,Landmark,헬싱키 중앙철도역의 건축을 어떻게 묘사할 것인가?,헬싱키 중앙역,"[""헬싱키 중앙역"", ""헬싱키 중앙역""]",False,False,False,False,0.8333
Q1044613_2,entity_aware_mt,Landmark,헬싱키 중앙 철도역에는 얼마나 많은 플랫폼이 있습니까?,헬싱키 중앙역,"[""헬싱키 중앙역""]",False,False,False,False,0.8333
Q1044613_2,gpt4o_mini,Landmark,헬싱키 중앙역에는 몇 개의 플랫폼이 있나요?,헬싱키 중앙역,"[""헬싱키 중앙역""]",True,True,True,True,1.0
Q1044613_2,gpt4o,Landmark,헬싱키 중앙역에는 몇 개의 플랫폼이 있습니까?,헬싱키 중앙역,"[""헬싱키 중앙역""]",True,True,True,True,1.0
Q1044613_2,vanilla_mt,Landmark,헬싱키 중앙철도역에는 얼마나 많은 플랫폼이 있습니까?,헬싱키 중앙역,"[""헬싱키 중앙역""]",False,False,False,False,0.8333
Q1050014_0,entity_aware_mt,Artwork,기초와 지구는 예술 작품으로 간주되는가?,파운데이션과 지구,"[""파운데이션과 지구"", ""파운데이션과 지구""]",False,False,False,False,0.25
Q1050014_0,gpt4o_mini,Artwork,재단과 지구는 예술 작품으로 간주될 수 있습니까?,파운데이션과 지구,"[""파운데이션과 지구"", ""파운데이션과 지구""]",False,False,False,False,0.375
Q1050014_0,gpt4o,Artwork,파운데이션과 어스는 예술 작품으로 간주됩니까?,파운데이션과 지구,"[""파운데이션과 지구"", ""파운데이션과 지구""]",False,False,False,False,0.75
Q1050014_0,vanilla_mt,Artwork,재단과 지구는 예술 작품으로 간주되는가?,파운데이션과 지구,"[""파운데이션과 지구"", ""파운데이션과 지구""]",False,False,False,False,0.375
Q1050014_1,entity_aware_mt,Artwork,책 기초와 지구의 저자는 누구입니까?,파운데이션과 지구,"[""파운데이션과 지구"", ""파운데이션과 지구""]",False,False,False,False,0.25
Q1050014_1,gpt4o_mini,Artwork,"""파운데이션과 지구""의 저자는 누구인가요?",파운데이션과 지구,"[""파운데이션과 지구"", ""파운데이션과 지구""]",True,True,True,True,1.0
Q1050014_1,gpt4o,Artwork,『파운데이션과 지구』의 저자는 누구인가요?,파운데이션과 지구,"[""파운데이션과 지구"", ""파운데이션과 지구""]",True,True,True,True,1.0
Q1050014_1,vanilla_mt,Artwork,기초와 지구의 책의 저자는 누구입니까?,파운데이션과 지구,"[""파운데이션과 지구"", ""파운데이션과 지구""]",False,False,False,False,0.25
Q1050014_2,entity_aware_mt,Artwork,기초와 지구의 주요 미디어는 무엇입니까?,파운데이션과 지구,"[""파운데이션과 지구"", ""파운데이션과 지구""]",False,False,False,False,0.25
Q1050014_2,gpt4o_mini,Artwork,파운데이션과 지구의 주요 매체는 무엇인가요?,파운데이션과 지구,"[""파운데이션과 지구"", ""파운데이션과 지구""]",True,True,True,True,1.0
Q1050014_2,gpt4o,Artwork,"""파운데이션과 대지""의 주된 매체는 무엇입니까?",파운데이션과 지구,"[""파운데이션과 지구"", ""파운데이션과 지구""]",False,False,False,False,0.75
Q1050014_2,vanilla_mt,Artwork,기초와 지구의 주요 미디어는 무엇입니까?,파운데이션과 지구,"[""파운데이션과 지구"", ""파운데이션과 지구""]",False,False,False,False,0.25
Q1053156_0,entity_aware_mt,TV series,더 이상 아들 중의 주요 캐릭터는 누구입니까?,이상의 아들,"[""이상의 아들"", ""이상의 아들""]",False,False,False,False,0.4
Q1053156_0,gpt4o_mini,TV series,"""리소우의 아들""의 주요 캐릭터는 누구인가요?",이상의 아들,"[""이상의 아들"", ""이상의 아들""]",False,False,False,False,0.6
Q1053156_0,gpt4o,TV series,리소우노무스코의 주요 등장인물은 누구인가요?,이상의 아들,"[""이상의 아들"", ""이상의 아들""]",False,False,False,False,0.2
Q1053156_0,vanilla_mt,TV series,Risou no Musuko의 주요 캐릭터는 누구입니까?,이상의 아들,"[""이상의 아들"", ""이상의 아들""]",False,False,False,False,0.2
Q1053156_1,entity_aware_mt,TV series,얼마나 오래 TV 시리즈의 아들 이상?,이상의 아들,"[""이상의 아들"", ""이상의 아들"", ""이상의 아들"", ""이상의 아들""]",False,False,False,False,0.6
Q1053156_1,gpt4o_mini,TV series,리소우의 아들 TV 시리즈는 길이가 얼마나 되나요?,이상의 아들,"[""이상의 아들"", ""이상의 아들"", ""이상의 아들"", ""이상의 아들""]",False,False,False,False,0.6
Q1053156_1,gpt4o,TV series,리스의 이상적인 아들 TV 시리즈는 얼마나 긴가요?,이상의 아들,"[""이상의 아들"", ""이상의 아들"", ""이상의 아들"", ""이상의 아들""]",False,False,False,False,0.4
Q1053156_1,vanilla_mt,TV series,RISU NO MUSUKO TV 시리즈는 얼마나 오래 걸리나요?,이상의 아들,"[""이상의 아들"", ""이상의 아들"", ""이상의 아들"", ""이상의 아들""]",False,False,False,False,0.0
Q1053156_2,entity_aware_mt,TV series,일본에서 가장 큰 아들이 처음으로 언제 출연되었습니까?,이상의 아들,"[""이상의 아들"", ""이상의 아들"", ""이상의 아들""]",False,False,False,False,0.4
Q1053156_2,gpt4o_mini,TV series,리소우의 아들은 일본에서 처음 방송된 것이 언제인가요?,이상의 아들,"[""이상의 아들"", ""이상의 아들"", ""이상의 아들""]",False,False,False,False,0.6
Q1053156_2,gpt4o,TV series,리소우노무스코는 일본에서 언제 처음 방송되었나요?,이상의 아들,"[""이상의 아들"", ""이상의 아들"", ""이상의 아들""]",False,False,False,False,0.0
Q1053156_2,vanilla_mt,TV series,리소우 노 무수코가 일본에서 처음 방송되었을 때는 언제입니까?,이상의 아들,"[""이상의 아들"", ""이상의 아들"", ""이상의 아들""]",False,False,False,False,0.0
Q1067463_0,entity_aware_mt,Place of worship,2) 어떤 종류의 장소는 쿠틀루무시우 수도원입니까?,쿠틀루무시우 수도원,"[""쿠틀루무시우 수도원"", ""쿠틀루무시우 수도원""]",True,True,True,True,1.0
Q1067463_0,gpt4o_mini,Place of worship,2) 쿨투룸무시우 수도원은 어떤 종류의 장소인가요?,쿠틀루무시우 수도원,"[""쿠틀루무시우 수도원"", ""쿠틀루무시우 수도원""]",False,False,False,False,0.6667
Q1067463_0,gpt4o,Place of worship,2) 쿠틀루무시우 수도원은 어떤 장소인가요?,쿠틀루무시우 수도원,"[""쿠틀루무시우 수도원"", ""쿠틀루무시우 수도원""]",True,True,True,True,1.0
Q1067463_0,vanilla_mt,Place of worship,2) 어떤 종류의 장소는 Koutloumousiou 수도원입니까?,쿠틀루무시우 수도원,"[""쿠틀루무시우 수도원"", ""쿠틀루무시우 수도원""]",False,False,False,False,0.3333
Q1067463_1,entity_aware_mt,Place of worship,1) 그리스에 있는 쿠틀루무시우 수도원은 어디에 있습니까?,쿠틀루무시우 수도원,"[""쿠틀루무시우 수도원"", ""쿠틀루무시우 수도원""]",True,True,True,True,1.0
Q1067463_1,gpt4o_mini,Place of worship,그리스의 쿠틀루무시우 수도원은 어디에 위치하고 있나요?,쿠틀루무시우 수도원,"[""쿠틀루무시우 수도원"", ""쿠틀루무시우 수도원""]",True,True,True,True,1.0
Q1067463_1,gpt4o,Place of worship,1) 쿠틀루무시우 수도원은 그리스의 어디에 위치하고 있나요?,쿠틀루무시우 수도원,"[""쿠틀루무시우 수도원"", ""쿠틀루무시우 수도원""]",True,True,True,True,1.0
Q1067463_1,vanilla_mt,Place of worship,1) 그리스에 위치한 Koutloumousiou 수도원은 어디에 있습니까?,쿠틀루무시우 수도원,"[""쿠틀루무시우 수도원"", ""쿠틀루무시우 수도원""]",False,False,False,False,0.3333
Q1067463_2,entity_aware_mt,Place of worship,5) 어느 나라에 위치한 쿠틀루무시우 수도원?,쿠틀루무시우 수도원,"[""쿠틀루무시우 수도원"", ""쿠틀루무시우 수도원""]",True,True,True,True,1.0
Q1067463_2,gpt4o_mini,Place of worship,Koutloumousiou 수도원은 어떤 나라에 위치해 있나요?,쿠틀루무시우 수도원,"[""쿠틀루무시우 수도원"", ""쿠틀루무시우 수도원""]",False,False,False,False,0.3333
Q1067463_2,gpt4o,Place of worship,5) Koutloumousiou 수도원은 어느 나라에 위치해 있습니까?,쿠틀루무시우 수도원,"[""쿠틀루무시우 수도원"", ""쿠틀루무시우 수도원""]",False,False,False,False,0.3333
Q1067463_2,vanilla_mt,Place of worship,5) 어느 나라에 위치한 Koutloumousiou 수도원은 무엇입니까?,쿠틀루무시우 수도원,"[""쿠틀루무시우 수도원"", ""쿠틀루무시우 수도원""]",False,False,False,False,0.3333
Q1074831_0,entity_aware_mt,Book series,마왕 던테는 책 시리즈 또는 TV 시리즈로 더 인기가 있습니까?,마왕 단테,"[""마왕 단테"", ""마왕 단테""]",False,False,False,False,0.5
Q1074831_0,gpt4o_mini,Book series,"다몬 로드 단테는 책 시리즈로 더 인기가 있나요, 아니면 TV 시리즈로 더 인기가 있나요?",마왕 단테,"[""마왕 단테"", ""마왕 단테""]",False,False,False,False,0.5
Q1074831_0,gpt4o,Book series,《마왕 단테》는 책 시리즈와 TV 시리즈 중 어디에서 인기가 더 많은가요?,마왕 단테,"[""마왕 단테"", ""마왕 단테""]",True,True,True,True,1.0
Q1074831_0,vanilla_mt,Book series,Demon Lord Dante는 책 시리즈 또는 TV 시리즈로 더 인기가 있습니까?,마왕 단테,"[""마왕 단테"", ""마왕 단테""]",False,False,False,False,0.0
Q1074831_1,entity_aware_mt,Book series,누가 마왕 던테 맨가와 애니메이션 시리즈를 만들었습니까?,마왕 단테,"[""마왕 단테""]",False,False,False,False,0.5
Q1074831_1,gpt4o_mini,Book series,악마 군주 단테 만화 및 애니메이션 시리즈는 누구에 의해 창작되었나요?,마왕 단테,"[""마왕 단테""]",False,False,False,False,0.5
Q1074831_1,gpt4o,Book series,데몬 로드 단테 만화와 애니메이션 시리즈는 누가 만들었습니까?,마왕 단테,"[""마왕 단테""]",False,False,False,False,0.5
Q1074831_1,vanilla_mt,Book series,누가 악마 던트 맨가와 애니메이션 시리즈를 만들었습니까?,마왕 단테,"[""마왕 단테""]",False,False,False,False,0.25
Q1074831_2,entity_aware_mt,Book series,마왕 던테의 종류를 어떻게 묘사할 것인가?,마왕 단테,"[""마왕 단테"", ""마왕 단테""]",False,False,False,False,0.5
Q1074831_2,gpt4o_mini,Book series,"""데몬 로드 단테(Demon Lord Dante)""의 장르는 판타지, 액션, 공포로 설명할 수 있습니다.",마왕 단테,"[""마왕 단테"", ""마왕 단테""]",False,False,False,False,0.5
Q1074831_2,gpt4o,Book series,데몬 로드 단테의 장르는 어떻게 설명하시겠습니까?,마왕 단테,"[""마왕 단테"", ""마왕 단테""]",False,False,False,False,0.5
Q1074831_2,vanilla_mt,Book series,당신은 악마 주인 던테의 종류를 어떻게 묘사 할 것인가?,마왕 단테,"[""마왕 단테"", ""마왕 단테""]",False,False,False,False,0.25
Q1112125_0,entity_aware_mt,Place of worship,성 시미안 교회의 건축을 어떻게 묘사할 것인가?,세인트 시므온 스타일라이트 교회,"[""세인트 시므온 스타일라이트 교회"", ""세인트 시므온 스타일라이트 교회""]",False,False,False,False,0.1429
Q1112125_0,gpt4o_mini,Place of worship,성 시메온 스틸리테 교회의 건축 양식은 어떻게 설명할 수 있습니까?,세인트 시므온 스타일라이트 교회,"[""세인트 시므온 스타일라이트 교회"", ""세인트 시므온 스타일라이트 교회""]",False,False,False,False,0.1429
Q1112125_0,gpt4o,Place of worship,성 시메온 스틸리테스 교회의 건축 양식은 어떻게 설명하겠습니까?,세인트 시므온 스타일라이트 교회,"[""세인트 시므온 스타일라이트 교회"", ""세인트 시므온 스타일라이트 교회""]",False,False,False,False,0.1429
Q1112125_0,vanilla_mt,Place of worship,세인트 시메온 스타일리트 교회의 건축을 어떻게 묘사할 것인가?,세인트 시므온 스타일라이트 교회,"[""세인트 시므온 스타일라이트 교회"", ""세인트 시므온 스타일라이트 교회""]",False,False,False,False,0.2857
Q1112125_1,entity_aware_mt,Place of worship,성 시미안 교회의 역사적 의미는 무엇입니까?,세인트 시므온 스타일라이트 교회,"[""세인트 시므온 스타일라이트 교회"", ""세인트 시므온 스타일라이트 교회""]",False,False,False,False,0.1429
Q1112125_1,gpt4o_mini,Place of worship,세인트 시메온 스텔리타 교회의 역사적 중요성은 무엇인가요?,세인트 시므온 스타일라이트 교회,"[""세인트 시므온 스타일라이트 교회"", ""세인트 시므온 스타일라이트 교회""]",False,False,False,False,0.2857
Q1112125_1,gpt4o,Place of worship,시메온 스틸리테스 성당의 역사적 중요성은 무엇인가요?,세인트 시므온 스타일라이트 교회,"[""세인트 시므온 스타일라이트 교회"", ""세인트 시므온 스타일라이트 교회""]",False,False,False,False,0.1429
Q1112125_1,vanilla_mt,Place of worship,세인트 시메온 스타일리트 교회의 역사적 의미는 무엇입니까?,세인트 시므온 스타일라이트 교회,"[""세인트 시므온 스타일라이트 교회"", ""세인트 시므온 스타일라이트 교회""]",False,False,False,False,0.2857
Q1112125_2,entity_aware_mt,Place of worship,방문객들은 여전히 오늘 성 시미안 교회에 액세스하고 탐험 할 수 있습니까?,세인트 시므온 스타일라이트 교회,"[""세인트 시므온 스타일라이트 교회"", ""성 시미언 교회""]",False,False,False,False,0.5
Q1112125_2,gpt4o_mini,Place of worship,오늘날 방문객들이 성 시메온 스타일리테스 교회를 여전히 접근하고 탐험할 수 있습니까?,세인트 시므온 스타일라이트 교회,"[""세인트 시므온 스타일라이트 교회"", ""성 시미언 교회""]",False,False,False,False,0.3333
Q1112125_2,gpt4o,Place of worship,방문객들이 오늘날에도 성 시메온 스틸리테스 교회를 방문하고 탐험할 수 있나요?,세인트 시므온 스타일라이트 교회,"[""세인트 시므온 스타일라이트 교회"", ""성 시미언 교회""]",False,False,False,False,0.3333
Q1112125_2,vanilla_mt,Place of worship,방문객들은 여전히 오늘날 성 시메온 스타일리트 교회에 액세스하고 탐험 할 수 있습니까?,세인트 시므온 스타일라이트 교회,"[""세인트 시므온 스타일라이트 교회"", ""성 시미언 교회""]",False,False,False,False,0.3333
Q111955724_0,entity_aware_mt,TV series,카르마의 세계 TV 시리즈는 언제 출시되었습니까?,카르마의 세상,"[""카르마의 세상"", ""카르마의 세상""]",False,False,False,False,0.8333
Q111955724_0,gpt4o_mini,TV series,카르마의 월드 TV 시리즈는 언제 출시되었나요?,카르마의 세상,"[""카르마의 세상"", ""카르마의 세상""]",False,False,False,False,0.6667
Q111955724_0,gpt4o,TV series,카르마의 세계 TV 시리즈는 언제 공개되었나요?,카르마의 세상,"[""카르마의 세상"", ""카르마의 세상""]",False,False,False,False,0.8333
Q111955724_0,vanilla_mt,TV series,카르마의 세계 TV 시리즈는 언제 출시되었습니까?,카르마의 세상,"[""카르마의 세상"", ""카르마의 세상""]",False,False,False,False,0.8333
Q111955724_1,entity_aware_mt,TV series,카르마의 세계 TV 시리즈의 창조자는 누구입니까?,카르마의 세상,"[""카르마의 세상"", ""카르마의 세상""]",False,False,False,False,0.8333
Q111955724_1,gpt4o_mini,TV series,카르마의 세계 TV 시리즈의 제작자는 누구인가요?,카르마의 세상,"[""카르마의 세상"", ""카르마의 세상""]",False,False,False,False,0.8333
Q111955724_1,gpt4o,TV series,카르마 월드 TV 시리즈의 창작자는 누구인가요?,카르마의 세상,"[""카르마의 세상"", ""카르마의 세상""]",False,False,False,False,0.5
Q111955724_1,vanilla_mt,TV series,카르마의 세계 TV 시리즈의 창조자는 누구입니까?,카르마의 세상,"[""카르마의 세상"", ""카르마의 세상""]",False,False,False,False,0.8333
Q111955724_2,entity_aware_mt,TV series,카르마의 세계 TV 시리즈는 어떻게 분류 될 수 있습니까?,카르마의 세상,"[""카르마의 세상"", ""카르마의 세상""]",False,False,False,False,0.8333
Q111955724_2,gpt4o_mini,TV series,카르마의 월드 TV 시리즈는 어떻게 분류될 수 있나요?,카르마의 세상,"[""카르마의 세상"", ""카르마의 세상""]",False,False,False,False,0.6667
Q111955724_2,gpt4o,TV series,카르마의 세계 TV 시리즈는 어떻게 분류될 수 있나요?,카르마의 세상,"[""카르마의 세상"", ""카르마의 세상""]",False,False,False,False,0.8333
Q111955724_2,vanilla_mt,TV series,어떻게 카르마의 세계 TV 시리즈를 분류 할 수 있습니까?,카르마의 세상,"[""카르마의 세상"", ""카르마의 세상""]",False,False,False,False,0.8333
Q1122571_0,entity_aware_mt,Movie,프라하의 봄에 주인공은 누구입니까?,참을 수 없는 존재의 가벼움,"[""참을 수 없는 존재의 가벼움""]",False,False,False,False,0.0909
Q1122571_0,gpt4o_mini,Movie,"""참을 수 없는 존재의 가벼움""의 주요 배우는 누구인가요?",참을 수 없는 존재의 가벼움,"[""참을 수 없는 존재의 가벼움""]",True,True,True,True,1.0
Q1122571_0,gpt4o,Movie,"""참을 수 없는 존재의 가벼움""의 주요 배우는 누구인가요?",참을 수 없는 존재의 가벼움,"[""참을 수 없는 존재의 가벼움""]",True,True,True,True,1.0
Q1122571_0,vanilla_mt,Movie,누가 견딜 수 없는 가벼움의 주인공인가?,참을 수 없는 존재의 가벼움,"[""참을 수 없는 존재의 가벼움""]",False,False,False,False,0.2727
Q1122571_1,entity_aware_mt,Movie,프라하의 봄은 어떤 해에 출시되었습니까?,참을 수 없는 존재의 가벼움,"[""참을 수 없는 존재의 가벼움""]",False,False,False,False,0.0909
Q1122571_1,gpt4o_mini,Movie,"""The Unbearable Lightness of Being""는 어떤 해에 개봉되었나요?",참을 수 없는 존재의 가벼움,"[""참을 수 없는 존재의 가벼움""]",False,False,False,False,0.0909
Q1122571_1,gpt4o,Movie,《참을 수 없는 존재의 가벼움》은 어느 해에 출시되었습니까?,참을 수 없는 존재의 가벼움,"[""참을 수 없는 존재의 가벼움""]",True,True,True,True,1.0
Q1122571_1,vanilla_mt,Movie,어떤 해에 견딜 수 없는 빛이 풀려났습니까?,참을 수 없는 존재의 가벼움,"[""참을 수 없는 존재의 가벼움""]",False,False,False,False,0.2727
Q1122571_2,entity_aware_mt,Movie,프라하의 봄의 종류는 무엇입니까?,참을 수 없는 존재의 가벼움,"[""참을 수 없는 존재의 가벼움""]",False,False,False,False,0.0909
Q1122571_2,gpt4o_mini,Movie,《참을 수 없는 존재의 가벼움》의 장르는 무엇인가요?,참을 수 없는 존재의 가벼움,"[""참을 수 없는 존재의 가벼움""]",True,True,True,True,1.0
Q1122571_2,gpt4o,Movie,「참을 수 없는 존재의 가벼움」의 장르는 무엇인가요?,참을 수 없는 존재의 가벼움,"[""참을 수 없는 존재의 가벼움""]",True,True,True,True,1.0
Q1122571_2,vanilla_mt,Movie,무력한 존재의 빛의 종류는 무엇입니까?,참을 수 없는 존재의 가벼움,"[""참을 수 없는 존재의 가벼움""]",False,False,False,False,0.2727
Q11271903_0,entity_aware_mt,Fictional entity,주스 오티즈는 진정한 사람이나 환상적인 캐릭터입니까?,주스 오티즈,"[""주스 오티즈"", ""주스 오티즈"", ""주스 오티즈""]",True,True,True,True,1.0
Q11271903_0,gpt4o_mini,Fictional entity,"주스 오르티즈는 실제 인물인가요, 아니면 허구의 캐릭터인가요?",주스 오티즈,"[""주스 오티즈"", ""주스 오티즈"", ""주스 오티즈""]",False,False,False,False,0.6
Q11271903_0,gpt4o,Fictional entity,주스 오르티즈는 실존 인물이 아닌 가상 인물입니다.,주스 오티즈,"[""주스 오티즈"", ""주스 오티즈"", ""주스 오티즈""]",False,False,False,False,0.6
Q11271903_0,vanilla_mt,Fictional entity,Juice Ortiz는 진정한 사람이나 환상적인 캐릭터입니까?,주스 오티즈,"[""주스 오티즈"", ""주스 오티즈"", ""주스 오티즈""]",False,False,False,False,0.0
Q11271903_1,entity_aware_mt,Fictional entity,어떤 TV 시리즈에서 판타지 캐릭터 주스 오티즈가 나타납니까?,주스 오티즈,"[""주스 오티즈"", ""주스 오티즈"", ""주스 오티즈""]",True,True,True,True,1.0
Q11271903_1,gpt4o_mini,Fictional entity,"""주스 오르티즈""라는 가상의 캐릭터는 어떤 TV 시리즈에 등장하나요?",주스 오티즈,"[""주스 오티즈"", ""주스 오티즈"", ""주스 오티즈""]",False,False,False,False,0.6
Q11271903_1,gpt4o,Fictional entity,가상의 캐릭터 주스 오르티즈는 어떤 텔레비전 시리즈에 등장하나요?,주스 오티즈,"[""주스 오티즈"", ""주스 오티즈"", ""주스 오티즈""]",False,False,False,False,0.6
Q11271903_1,vanilla_mt,Fictional entity,어떤 TV 시리즈에서 판타지 캐릭터 Juice Ortiz가 나타납니까?,주스 오티즈,"[""주스 오티즈"", ""주스 오티즈"", ""주스 오티즈""]",False,False,False,False,0.2
Q11271903_2,entity_aware_mt,Fictional entity,아나키아의 아들들에서 주스 오티즈의 역할은 무엇입니까?,주스 오티즈,"[""주스 오티즈""]",True,True,True,True,1.0
Q11271903_2,gpt4o_mini,Fictional entity,"주스 오르티즈는 ""최악의 폭력""에서 중요한 역할을 맡고 있습니다.",주스 오티즈,"[""주스 오티즈""]",False,False,False,False,0.6
Q11271903_2,gpt4o,Fictional entity,"주스 오르티즈의 역할은 ""선즈 오브 아나키""에서 범죄 오토바이 클럽의 구성원입니다.",주스 오티즈,"[""주스 오티즈""]",False,False,False,False,0.6
Q11271903_2,vanilla_mt,Fictional entity,아나키아의 아들들에 대한 Juice Ortiz의 역할은 무엇입니까?,주스 오티즈,"[""주스 오티즈""]",False,False,False,False,0.0
Q1133767_0,entity_aware_mt,Book,DIN 단위는 쉽게 설치하고 제거 할 수 있습니까?,DIN 단자,"[""DIN 단자"", ""DIN 커넥터""]",False,False,False,False,0.8
Q1133767_0,gpt4o_mini,Book,DIN 커넥터는 쉽게 설치하고 제거할 수 있습니까?,DIN 단자,"[""DIN 단자"", ""DIN 커넥터""]",False,True,False,True,1.0
Q1133767_0,gpt4o,Book,DIN 커넥터는 쉽게 설치 및 제거할 수 있습니까?,DIN 단자,"[""DIN 단자"", ""DIN 커넥터""]",False,True,False,True,1.0
Q1133767_0,vanilla_mt,Book,DIN 커넥터를 쉽게 설치하고 제거할 수 있습니까?,DIN 단자,"[""DIN 단자"", ""DIN 커넥터""]",False,True,False,True,1.0
Q1133767_1,entity_aware_mt,Book,DIN 단위는 다른 유형의 커넥터와 어떻게 다릅니까?,DIN 단자,"[""DIN 단자"", ""DIN 단자 o는 다른 유형의 커넥터와 어떻게 다른가요?"", ""DIN 커넥터""]",False,False,False,False,0.8
Q1133767_1,gpt4o_mini,Book,DIN 커넥터는 다른 유형의 커넥터와 어떻게 다릅니까?,DIN 단자,"[""DIN 단자"", ""DIN 단자 o는 다른 유형의 커넥터와 어떻게 다른가요?"", ""DIN 커넥터""]",False,True,False,True,1.0
Q1133767_1,gpt4o,Book,DIN 커넥터는 다른 종류의 커넥터와 어떻게 다른가요?,DIN 단자,"[""DIN 단자"", ""DIN 단자 o는 다른 유형의 커넥터와 어떻게 다른가요?"", ""DIN 커넥터""]",False,True,False,True,1.0
Q1133767_1,vanilla_mt,Book,DIN 커넥터는 다른 유형의 커넥터와 어떻게 다릅니까?,DIN 단자,"[""DIN 단자"", ""DIN 단자 o는 다른 유형의 커넥터와 어떻게 다른가요?"", ""DIN 커넥터""]",False,True,False,True,1.0
