id,split,source,source_locale,target_locale,wikidata_id,entity_types,targets,reference_translation,reference_mention,reference_translations,reference_mentions,gpt4o_prediction,gpt4o_mini_prediction,primary_entity_type,selection_score,selection_reasons,gpt_models_differ,gpt4o_any_reference_mention_match,gpt4o_mini_any_reference_mention_match,model_mention_match_disagree,multi_reference_example,ascii_preservation_disagreement,selection_stage
Q24659708_0,validation,When was Blow Breeze first aired on television?,en,ko,Q24659708,"[""TV series""]","[{""translation"": ""불어라 미풍아는 언제 텔레비전에서 처음 방영되었나요?"", ""mention"": ""불어라 미풍아""}, {""translation"": ""불어라 미풍아가 처음 텔레비전에서 방영된 건 언제인가요?"", ""mention"": ""불어라 미풍아""}]",불어라 미풍아는 언제 텔레비전에서 처음 방영되었나요?,불어라 미풍아,"[""불어라 미풍아는 언제 텔레비전에서 처음 방영되었나요?"", ""불어라 미풍아가 처음 텔레비전에서 방영된 건 언제인가요?""]","[""불어라 미풍아"", ""불어라 미풍아""]","""불어라 미풍아""는 처음으로 언제 방영되었나요?",'Blow Breeze'는 처음에 텔레비전에서 방영된 날짜가 언제인가요?,TV series,11,"[""model_text_disagreement"", ""entity_mention_match_disagreement"", ""at_least_one_model_misses_reference_mention"", ""multi_reference_example"", ""ascii_preservation_disagreement""]",True,True,False,True,True,True,seed
Q913804_1,validation,Who is the author of The Making of the English Working Class?,en,ko,Q913804,"[""Artwork"", ""Book""]","[{""translation"": ""영국 노동계급의 형성 의 저자는 누구인가요?"", ""mention"": ""영국 노동계급의 형성""}, {""translation"": ""영국 노동계급의 형성의 저자는 누구인가요?"", ""mention"": ""영국 노동계급의 형성""}]",영국 노동계급의 형성 의 저자는 누구인가요?,영국 노동계급의 형성,"[""영국 노동계급의 형성 의 저자는 누구인가요?"", ""영국 노동계급의 형성의 저자는 누구인가요?""]","[""영국 노동계급의 형성"", ""영국 노동계급의 형성""]",'잉글랜드 노동계급의 형성'의 저자는 누구인가요?,영국 노동계급의 형성(The Making of the English Working Class)의 저자는 누군가요?,Artwork,12,"[""model_text_disagreement"", ""entity_mention_match_disagreement"", ""at_least_one_model_misses_reference_mention"", ""multi_reference_example"", ""multiple_entity_types"", ""ascii_preservation_disagreement""]",True,False,True,True,True,True,seed
Q1860864_0,validation,Are there any countries that currently use the silver standard?,en,ko,Q1860864,"[""Book""]","[{""translation"": ""현재 은본위제을 사용하는 국가가 있나요?"", ""mention"": ""은본위제""}, {""translation"": ""현재 은본위제 을 사용하는 국가가 있나요?"", ""mention"": ""은본위제""}]",현재 은본위제을 사용하는 국가가 있나요?,은본위제,"[""현재 은본위제을 사용하는 국가가 있나요?"", ""현재 은본위제 을 사용하는 국가가 있나요?""]","[""은본위제"", ""은본위제""]",현재 은본위를 사용하는 나라는 있나요?,현재 은본위제를 사용하는 국가는 있습니까?,Book,10,"[""model_text_disagreement"", ""entity_mention_match_disagreement"", ""at_least_one_model_misses_reference_mention"", ""multi_reference_example""]",True,False,True,True,True,False,seed
Q3943166_0,validation,"Who is the author behind the captivating stories in the Ryu, the Cave Boy book series?",en,ko,Q3943166,"[""Book series"", ""TV series""]","[{""translation"": ""원시소년 돌치책 시리즈의 매혹적인 이야기 뒤에 있는 작가는 누구인가요?"", ""mention"": ""원시소년 돌치""}, {""translation"": ""동굴 소년 류 책 시리즈의 매혹적인 이야기 뒤에 있는 작가는 누구인가요?"", ""mention"": ""동굴 소년 류""}, {""translation"": ""원시소년 류우 책 시리즈의 매혹적인 이야기를 쓴 작가는 누구인가요?"", ""mention"": ""원시소년 류우""}]",원시소년 돌치책 시리즈의 매혹적인 이야기 뒤에 있는 작가는 누구인가요?,원시소년 돌치,"[""원시소년 돌치책 시리즈의 매혹적인 이야기 뒤에 있는 작가는 누구인가요?"", ""동굴 소년 류 책 시리즈의 매혹적인 이야기 뒤에 있는 작가는 누구인가요?"", ""원시소년 류우 책 시리즈의 매혹적인 이야기를 쓴 작가는 누구인가요?""]","[""원시소년 돌치"", ""동굴 소년 류"", ""원시소년 류우""]",류 토미카와,"Ryu, the Cave Boy 책 시리즈의 매혹적인 이야기 뒤에 있는 저자는 누구인가요?",Book series,8,"[""model_text_disagreement"", ""at_least_one_model_misses_reference_mention"", ""multi_reference_example"", ""multiple_entity_types"", ""ascii_preservation_disagreement""]",True,False,False,False,True,True,seed
Q552179_2,validation,When did it become known that the Phantom of Heilbronn did not exist?,en,ko,Q552179,"[""Fictional entity"", ""Person""]","[{""translation"": ""하일브론의 유령이 존재하지 않았다는 것이 언제 알려졌나요"", ""mention"": ""하일브론의 유령""}, {""translation"": ""하일브론의 유령이 존재하지 않았다는 것이 언제 알려졌나요?"", ""mention"": ""하일브론의 유령""}]",하일브론의 유령이 존재하지 않았다는 것이 언제 알려졌나요,하일브론의 유령,"[""하일브론의 유령이 존재하지 않았다는 것이 언제 알려졌나요"", ""하일브론의 유령이 존재하지 않았다는 것이 언제 알려졌나요?""]","[""하일브론의 유령"", ""하일브론의 유령""]",하일브론의 유령이 존재하지 않는다는 것이 언제부터 알려졌습니까?,헤일브론의 유령이 존재하지 않았던 것으로 알려지게 된 것은 언제인가요?,Fictional entity,11,"[""model_text_disagreement"", ""entity_mention_match_disagreement"", ""at_least_one_model_misses_reference_mention"", ""multi_reference_example"", ""multiple_entity_types""]",True,True,False,True,True,False,seed
Q894347_0,validation,What is the history of Bosnian pot?,en,ko,Q894347,"[""Food""]","[{""translation"": ""보스니아 냄비의 역사는 무엇인가요?"", ""mention"": ""보스니아 냄비""}, {""translation"": ""보스니아 냄비의 역사는 어떻게 되나요?"", ""mention"": ""보스니아 냄비""}]",보스니아 냄비의 역사는 무엇인가요?,보스니아 냄비,"[""보스니아 냄비의 역사는 무엇인가요?"", ""보스니아 냄비의 역사는 어떻게 되나요?""]","[""보스니아 냄비"", ""보스니아 냄비""]",보스니아의 전골의 역사란 무엇인가?,보스니아 냄비의 역사란 무엇인가요?,Food,10,"[""model_text_disagreement"", ""entity_mention_match_disagreement"", ""at_least_one_model_misses_reference_mention"", ""multi_reference_example""]",True,False,True,True,True,False,seed
Q1024181_1,validation,What is the purpose or function of Pushkin House?,en,ko,Q1024181,"[""Landmark""]","[{""translation"": ""푸쉬킨 하우스의 목적 또는 기능은 무엇입니까?"", ""mention"": ""푸쉬킨 하우스""}, {""translation"": ""푸시킨 하우스의 목적이나 기능은 무엇인가요?"", ""mention"": ""푸시킨 하우스""}, {""translation"": ""푸시킨 하우스 의 목적이나 기능은 무엇인가요"", ""mention"": ""푸시킨 하우스""}]",푸쉬킨 하우스의 목적 또는 기능은 무엇입니까?,푸쉬킨 하우스,"[""푸쉬킨 하우스의 목적 또는 기능은 무엇입니까?"", ""푸시킨 하우스의 목적이나 기능은 무엇인가요?"", ""푸시킨 하우스 의 목적이나 기능은 무엇인가요""]","[""푸쉬킨 하우스"", ""푸시킨 하우스"", ""푸시킨 하우스""]",푸쉬킨 하우스의 목적이나 기능은 무엇인가요?,푸슈킨 하우스의 목적이나 기능은 무엇인가요?,Landmark,10,"[""model_text_disagreement"", ""entity_mention_match_disagreement"", ""at_least_one_model_misses_reference_mention"", ""multi_reference_example""]",True,True,False,True,True,False,seed
Q1167579_1,validation,Who directed the 1995 movie Village of the Damned?,en,ko,Q1167579,"[""Movie""]","[{""translation"": ""1995년 영화 저주받은 마을 를 감독한 사람은 누구입니까?"", ""mention"": ""저주받은 마을""}, {""translation"": ""1995년 영화 저주받은 도시의 감독은 누구인가요?"", ""mention"": ""저주받은 도시""}, {""translation"": ""1995년 영화 저주받은 도시 은 누가 감독했나요?"", ""mention"": ""저주받은 도시""}, {""translation"": ""1995년 영화 저주받은 마을 은 누가 감독했나요?"", ""mention"": ""저주받은 마을""}]",1995년 영화 저주받은 마을 를 감독한 사람은 누구입니까?,저주받은 마을,"[""1995년 영화 저주받은 마을 를 감독한 사람은 누구입니까?"", ""1995년 영화 저주받은 도시의 감독은 누구인가요?"", ""1995년 영화 저주받은 도시 은 누가 감독했나요?"", ""1995년 영화 저주받은 마을 은 누가 감독했나요?""]","[""저주받은 마을"", ""저주받은 도시"", ""저주받은 도시"", ""저주받은 마을""]","1995년 영화 ""Village of the Damned""의 감독은 누구인가요?",1995년 영화 '저주받은 마을'의 감독은 누구인가요?,Movie,11,"[""model_text_disagreement"", ""entity_mention_match_disagreement"", ""at_least_one_model_misses_reference_mention"", ""multi_reference_example"", ""ascii_preservation_disagreement""]",True,False,True,True,True,True,seed
Q231213_2,validation,Can you provide a brief description of Symphony No. 4 by Mendelssohn?,en,ko,Q231213,"[""Musical work""]","[{""translation"": ""멘델스존의 교향곡 4번에 대한 간략한 설명을 해줄 수 있나요?"", ""mention"": ""교향곡 4번""}, {""translation"": ""멘델스존의 교향곡 4번"", ""mention"": ""교향곡 4번""}]",멘델스존의 교향곡 4번에 대한 간략한 설명을 해줄 수 있나요?,교향곡 4번,"[""멘델스존의 교향곡 4번에 대한 간략한 설명을 해줄 수 있나요?"", ""멘델스존의 교향곡 4번""]","[""교향곡 4번"", ""교향곡 4번""]","멘델스존의 교향곡 4번은 밝고 활기찬 선율로 특징지어지며 ""이탈리아""라는 별칭을 가지고 있다. 이 작품은 작곡가가 이탈리아 여행 중 받은 영감에 의해 탄생되었으며, 전반적으로 경쾌하고 낙천적인 분위기를 전달한다. 네 개의 악장으로 구성되며, 각 악장은 고유한 리듬과 멜로디를 통해 따뜻하고 생생한 이탈리아의 풍경을 그려낸다.","멘델스존의 교향곡 제4번은 ""이탈리아""라는 제목으로 널리 알려져 있으며, 1833년에 작곡되었습니다. 이 작품은 이탈리아 여행 중에 받은 영감을 바탕으로 하여 밝고 경쾌한 선율과 에너제틱한 리듬을 특징으로 합니다. 4악장으로 구성되어 있으며, 각 악장은 이탈리아의 풍경과 기분을 반영하고 있습니다. 특히 첫 번째 악장에서는 강한 생동감이 느껴지며, 마지막 악장에서는 이탈리아의 민속 음악적 요소가 잘 드러납니다. 이 교향곡은 Mendelssohn의 대표작 중 하나로 꼽히며, 낭만주의 음악의 중요한 작품으로 여겨집니다.",Musical work,11,"[""model_text_disagreement"", ""entity_mention_match_disagreement"", ""at_least_one_model_misses_reference_mention"", ""multi_reference_example"", ""ascii_preservation_disagreement""]",True,True,False,True,True,True,seed
Q837005_1,validation,In which fictional universe does Gyro Gearloose exist?,en,ko,Q837005,"[""Person""]","[{""translation"": ""자이로 기어루스 는 어떤 가상의 우주에 존재하나요?"", ""mention"": ""자이로 기어루스""}, {""translation"": ""자이로 기어루스는 어떤 가상의 우주에 존재하나요?"", ""mention"": ""자이로 기어루스""}]",자이로 기어루스 는 어떤 가상의 우주에 존재하나요?,자이로 기어루스,"[""자이로 기어루스 는 어떤 가상의 우주에 존재하나요?"", ""자이로 기어루스는 어떤 가상의 우주에 존재하나요?""]","[""자이로 기어루스"", ""자이로 기어루스""]",자이로 기어루스는 어떤 가상 세계에 존재하나요?,"Gyro Gearloose는 ""덤보""라는 가상의 우주에 존재합니다.",Person,11,"[""model_text_disagreement"", ""entity_mention_match_disagreement"", ""at_least_one_model_misses_reference_mention"", ""multi_reference_example"", ""ascii_preservation_disagreement""]",True,True,False,True,True,True,seed
Q975568_2,validation,How old is Thiên Mụ Temple?,en,ko,Q975568,"[""Place of worship""]","[{""translation"": ""티엔무 사원 은 몇 살인가요"", ""mention"": ""티엔무 사원""}, {""translation"": ""티엔무 사원은 몇 살인가요?"", ""mention"": ""티엔무 사원""}, {""translation"": ""티엔무 사원은 몇 살입니까?"", ""mention"": ""티엔무 사원""}]",티엔무 사원 은 몇 살인가요,티엔무 사원,"[""티엔무 사원 은 몇 살인가요"", ""티엔무 사원은 몇 살인가요?"", ""티엔무 사원은 몇 살입니까?""]","[""티엔무 사원"", ""티엔무 사원"", ""티엔무 사원""]",티엔무 사원은 얼마나 오래되었나요?,Thiên 뮈 사원은 얼마나 오래되었나요?,Place of worship,11,"[""model_text_disagreement"", ""entity_mention_match_disagreement"", ""at_least_one_model_misses_reference_mention"", ""multi_reference_example"", ""ascii_preservation_disagreement""]",True,True,False,True,True,True,seed
Q6856266_2,validation,How many episodes are there in the TV series Grudge: The Revolt of Gumiho?,en,ko,Q6856266,"[""TV series""]","[{""translation"": ""TV 시리즈 구미호: 여우누이뎐에는 몇 개의 에피소드가 있나요?"", ""mention"": ""구미호: 여우누이뎐""}, {""translation"": ""TV 시리즈 구미호: 여우누이뎐 에는 몇 개의 에피소드가 있나요?"", ""mention"": ""구미호: 여우누이뎐""}]",TV 시리즈 구미호: 여우누이뎐에는 몇 개의 에피소드가 있나요?,구미호: 여우누이뎐,"[""TV 시리즈 구미호: 여우누이뎐에는 몇 개의 에피소드가 있나요?"", ""TV 시리즈 구미호: 여우누이뎐 에는 몇 개의 에피소드가 있나요?""]","[""구미호: 여우누이뎐"", ""구미호: 여우누이뎐""]",드라마 구미호: 여우누이뎐은 몇 화로 구성되어 있나요?,"TV 시리즈 ""원주율: 구미호의 반란""은 몇 개의 에피소드가 있나요?",TV series,11,"[""model_text_disagreement"", ""entity_mention_match_disagreement"", ""at_least_one_model_misses_reference_mention"", ""multi_reference_example"", ""ascii_preservation_disagreement""]",True,True,False,True,True,True,seed
Q4330144_2,validation,When was Vaster than Empires and More Slow first published?,en,ko,Q4330144,"[""Artwork"", ""Book""]","[{""translation"": ""제국보다 광대하고 더욱 느리게 는 언제 처음 출판되었나요?"", ""mention"": ""제국보다 광대하고 더욱 느리게""}, {""translation"": ""제국보다 광대하고 더욱 느리게는 언제 처음 출판되었나요?"", ""mention"": ""제국보다 광대하고 더욱 느리게""}]",제국보다 광대하고 더욱 느리게 는 언제 처음 출판되었나요?,제국보다 광대하고 더욱 느리게,"[""제국보다 광대하고 더욱 느리게 는 언제 처음 출판되었나요?"", ""제국보다 광대하고 더욱 느리게는 언제 처음 출판되었나요?""]","[""제국보다 광대하고 더욱 느리게"", ""제국보다 광대하고 더욱 느리게""]",《제국보다 광대하고 더욱 느리게》는 언제 처음 출판되었나요?,"""Vaster than Empires and More Slow""는 1971년에 처음 출판되었습니다.",Artwork,12,"[""model_text_disagreement"", ""entity_mention_match_disagreement"", ""at_least_one_model_misses_reference_mention"", ""multi_reference_example"", ""multiple_entity_types"", ""ascii_preservation_disagreement""]",True,True,False,True,True,True,seed
Q877510_1,validation,"Who is the author of the book, The Phenomenology of Spirit?",en,ko,Q877510,"[""Book""]","[{""translation"": ""정신 현상학 이라는 책의 저자는 누구인가요?"", ""mention"": ""정신 현상학""}, {""translation"": ""정신 현상학 이라는 책의 저자는 누구인가요"", ""mention"": ""정신 현상학""}, {""translation"": ""정신 현상학이라는 책의 저자는 누구인가요?"", ""mention"": ""정신 현상학""}]",정신 현상학 이라는 책의 저자는 누구인가요?,정신 현상학,"[""정신 현상학 이라는 책의 저자는 누구인가요?"", ""정신 현상학 이라는 책의 저자는 누구인가요"", ""정신 현상학이라는 책의 저자는 누구인가요?""]","[""정신 현상학"", ""정신 현상학"", ""정신 현상학""]",《정신 현상학》의 저자는 누구인가요?,"그 책의 저자는 ""정신의 현상학""입니다.",Book,10,"[""model_text_disagreement"", ""entity_mention_match_disagreement"", ""at_least_one_model_misses_reference_mention"", ""multi_reference_example""]",True,True,False,True,True,False,seed
Q1074831_2,validation,How would you describe the genre of Demon Lord Dante?,en,ko,Q1074831,"[""Book series"", ""TV series""]","[{""translation"": ""마왕 단테의 장르를 어떻게 설명하시겠습니까?"", ""mention"": ""마왕 단테""}, {""translation"": ""마왕 단테 의 장르를 어떻게 설명하시겠습니까?"", ""mention"": ""마왕 단테""}]",마왕 단테의 장르를 어떻게 설명하시겠습니까?,마왕 단테,"[""마왕 단테의 장르를 어떻게 설명하시겠습니까?"", ""마왕 단테 의 장르를 어떻게 설명하시겠습니까?""]","[""마왕 단테"", ""마왕 단테""]",데몬 로드 단테의 장르는 어떻게 설명하시겠습니까?,"""데몬 로드 단테(Demon Lord Dante)""의 장르는 판타지, 액션, 공포로 설명할 수 있습니다.",Book series,8,"[""model_text_disagreement"", ""at_least_one_model_misses_reference_mention"", ""multi_reference_example"", ""multiple_entity_types"", ""ascii_preservation_disagreement""]",True,False,False,False,True,True,seed
